Article Title,Abstract,Publication Year
基于价格趋势驱动的元学习算法在线投资组合策略,"随着我国经济的迅速发展和国民可供分配收入的不断增加,人们投资需求变得更为强烈,如何高效合理地进行投资组合俨然成为投资者关注的热点问题。针对在线投资组合策略过于单一的价格预测和难以确定精准投资比例的问题,提出了基于价格趋势驱动的元学习算法在线投资组合策略(TPPT)。首先,考虑到股票价格异象的影响,提出了根据历史窗口期的等权重斜率值的三状态价格预测方法来追踪价格变化。其次,加入基于梯度投影的快速误差反向传播(BP)算法来求解投资比例。于是TPPT策略就将资产的增加能力反馈到投资比例上,以此来最大化累积财富。最后,5个典型数据的实证分析表明了TPPT策略在平衡风险与收益上占据较大的优势,是一种稳健且行之有效的在线投资组合策略。",2021.0
基于LSTM神经网络的行业资产配置模型,"近年来我国金融市场的迅猛发展,为投资者提供便利的同时也带来了挑战,如何有效地进行资产配置是投资者需要解决的难题之一.Black-Litterman模型不仅解决了传统均值方差模型对参数敏感的问题,而且允许投资者在模型中加入投资观点,是备受关注的资产配置模型.然而,投资者可能会因为自身经验不足而无法给出合适的投资观点,无法发挥模型的应用价值.本文采用基于长短期记忆(LSTM)神经网络表达量化观点的方式为投资者提供了一种解决方案.作为数值算例,本文以申万一级行业指数作为资产池构建投资组合,算例结果表明,与其他参照模型的表现相比,本文构建的资产配置模型有更高的夏普比率和年化收益率.",2021.0
收益率曲面预测及其在信用债投资组合管理中的应用,"收益率曲线是信用债投资者的重要参考。在市场套利活动的作用下,跨期限和信用等级的债券收益率具有很强的内生联系,其变动规律具有整体性和连续性。以往研究将信用债收益率曲线拆分成无风险利率曲线和信用利差两个部分,前者关注期限的影响,后者关注信用等级的影响,但很少同时考虑两者的共同影响。本文在收益率曲线的基础上增加信用等级维度,将AAA+级到AA级收益率曲线视为一个相互关联的整体,定义为信用债的收益率曲面(Yield Surface)。相比收益率曲线,收益率曲面包含了跨等级的系统性预测信息,通过预测收益率曲面能够构建具有较高收益的投资管理策略。本文以中期票据市场为例,采用卷积神经网络模型预测1周后的收益率曲面,在此基础上计算债券的预测理论价格,发现该价格对未来交易价格的预测有显著作用。基于预测价差,本文提出了信用债投资管理策略,应用该策略的投资组合能够获得显著的正收益。业绩归因分析发现,该策略取得的收益同时来自投资组合在信用风险和久期风险上的暴露,预测价差可以刻画债券市场的""风险前沿""。本文采用了中债估值价格进行稳健性检验,主要结论均保持一致,具有较强的稳健性。",2021.0
基于GAN场景生成的多目标投资组合研究,"投资组合旨在通过分散资产到数个证券上,从而达到提高收益并降低风险的目的。现阶段,随着人工智能技术的快速发展,传统的投资组合优化方式正在不断发生改变。生成对抗网络是近年来提出的一种深度学习模型,具备强大的数据生成能力。文章首先采用生成对抗网络产生证券未来收益的多个场景,在此基础上,构建基于收益率最大化和风险值最小化的多目标投资组合模型;其次,通过引入竞争学习机制,改进经典的多目标遗传算法,对模型进行求解;最后,基于真实股市数据对所提模型、算法的有效性进行了验证。",2020.0
适应我国国债利率期限结构的预测方法探讨,"在为债券及其他金融资产进行定价时,国债利率的期限结构是重要的参考因素,如何对其进行合理而尽量准确的预测,一直是学术研究和业务实践中的关注焦点。为了对比各种预测模型对该指标的刻画能力和预测准确程度,选取2016年1月4日至2019年12月31日的国债收益率每日收盘数据,对动态Svensson模型(简称""DS模型"")和长短时记忆神经网络模型(LSTM模型)的预测结果进行比较分析发现:DS模型和LSTM模型在样本内都有着良好的拟合效果;LSTM模型的预测效果明显好于DS模型。因此,构建基于预期收益率曲线的国债投资组合主动管理策略,并通过仿真实验证实,该策略能够实现显著高于市场基准的投资收益。",2020.0
图嵌入下稀疏低秩集成预测的多因子资产选择策略,"面对金融市场的大量不确定性因素,如何合理选择有效的定价因子并构建科学的资产定价体系,一直是金融理论研究的核心问题之一。本文利用图嵌入的方法,基于稀疏表示和低秩表示策略,深度挖掘潜含在数据集中的内在结构,构建了能够同时揭示数据局部结构信息和全局结构信息的集成学习策略,以实现不同维度的多源数据融合。从CAPM和APT理论出发,通过集成预测的方法构建量化多因子资产选择模型,代表性地选择了卷积神经网络、梯度提升决策树、时间序列及支持向量机等模型进行单一预测,并通过稀疏低秩的图近似最小二乘回归集成策略进行优化。实证结果表明基于集成预测的稀疏低秩策略其资产选择能力更强,超额收益率更高。采用机器学习的非线性预测方法更有利于揭示金融系统的复杂特性。实证结论对投资组合管理具有重要指导意义。",2021.0
基于自注意力神经网络的多因子量化选股问题研究,"大数据时代,深度学习算法的不断完善丰富了量化投资领域的分析方法,在众多量化投资策略中,多因子选股策略因其稳定的收益而备受投资者青睐。本文借助Tushare Pro金融大数据平台和聚宽量化交易平台,选取2009年10月至2019年3月沪深300各成分股日度数据作为研究对象,全面选取行情类、财务类、技术类和投资者情绪类四个类别共117个因子构建初始因子池,利用集成思想综合计算Pearson相关系数、距离相关系数、基于AIC准则的Elastic Net、基于BIC准则的Elastic Net、随机森林和GBDT共六个模型对于各个因子的重要性进行评分,筛选出68个因子;运用自注意力神经网络模型,通过过去60个交易日的因子数据,预测各成分股未来一个月的价格变动趋势,按上涨概率大小选取出前50只股票按等权重的资金分配方式构建投资组合,以月为周期进行投资组合的更新。实证结果表明,该投资策略相比于沪深300指数具有更高的收益和较低的风险。",2020.0
基于ELSTM-L模型的股票预测系统,"文章提出了采用支持向量机(SVM)和改进的长短期记忆网络(LSTM)与Lasso方法相结合的两个投资组合模型。选取技术指标作为模型的输入变量,使用改进的网格搜索法和指数衰减法分别改进SVM和LSTM。再通过这两种算法对HS300中所有股票进行涨跌预测,并统计预测为上涨的股票,最后基于变量选择观点的Lasso方法对预测上涨的股票进行筛选和权重计算,构建GSVM-L和ELSTM-L投资组合模型。结果表明:相对于其他组合模型,该模型具有较好的投资收益和较强的抗风险能力,且ELSTM-L模型可以容忍更高的交易成本。",2019.0
机器学习驱动的基本面量化投资研究,"基本面量化投资是近年来金融科技和量化投资研究的新热点。作为人工智能的代表性技术,机器学习能够大幅度提高经济学和管理学中预测类研究的效果。本文系统性地运用机器学习,来提升基本面量化投资中的股票收益预测模块。基于1997年1月至2018年10月A股市场的96项异象因子,本文采用预测组合算法、Lasso回归、岭回归、弹性网络回归、偏最小二乘回归、支持向量机、梯度提升树、极端梯度提升树、集成神经网络、深度前馈网络、循环神经网络和长短期记忆网络等12种机器学习算法,构建股票收益预测模型及投资组合。实证结果显示,机器学习算法能够有效地识别异象因子—超额收益间的复杂模式,其投资策略能够获得比传统线性算法和所有单因子更好的投资绩效,基于深度前馈网络预测的多空组合最高能够获得2.78%的月度收益。本文进一步检验了因子在预测模型中的重要性,发现交易摩擦因子在A股市场具有较强的预测能力,深度前馈网络在筛选因子数据上的多空组合月度收益达到了3.41%。本文尝试将机器学习引入基本面量化投资领域,有助于促进人工智能、机器学习与经济学和管理学的交叉融合研究,为推进国家人工智能战略的有效实施提供参考。",2019.0
基于混合神经网络模型预测下的统计套利研究,"文章以LSTM和BP神经网络为基础,引入一个混合神经网络模型将其应用于证券市场上的统计套利。实证表明:混合神经网络模型预测更精准;基于混合神经网络模型预测确定的套利策略其收益率、套利成功率、套利次数均高于BP神经网络模型预测进行套利的结果;扩大投资组合的规模可以有效增加套利次数和套利成功率,同时降低投资风险。",2019.0
基于深度学习和进化计算的外汇预测与投资组合优化,"利用深度学习和进化计算技术来分别实现对外汇价格的预测与投资组合优化.首先,利用循环神经网络建立汇率预测模型,用来预测外汇产品的价格并计算期望收益率.接着建立了一个双目标的投资组合模型,即最大化期望收益率与最小化风险.为了更接近真实的外汇交易市场,该模型中允许买空与卖空,并考虑了点差对收益的影响.基于多个外汇产品的期望收益率与投资组合模型,利用多目标进化算法来搜索出最优的投资组合.在多个外汇产品的真实历史数据上的结果表明,该方法能够实现在外汇交易市场中的盈利.",2019.0
BH-Quant智能量化策略辅助设计平台的研究与实践,"量化交易已在国外高频金融交易领域的广泛应用,但国内现有量化交易平台存在数据模型单一、策略有限、辅助功能少等不足,为解决上述问题,本文设计了一种智能的量化策略辅助设计平台,该平台引入了深度学习框架,利用人工智能技术训练模型和设计策略,并将预测结果通过可视化技术呈现,为投资者提供按自己的风险偏好选择投资组合提供辅助设计平台。",2017.0
“机器投顾”开启普惠金融服务新时代,"<正>智能机器人投资顾问(Robo-Advisor),简称""机器投顾"",在最近几年间成了非常热门的方向。在美国,包括Betterment,Wealthfront,Future Advisor等一系列公司在资产管理总额和服务的客户数量方面都有非常快速的增长。虽然现在机器投顾的总资产管理额度和传统资产管理公司还有很大差距,但诸多的研究和业界人士都看好这一领域的中长期增长。清华大学交叉信息研究院金融科技中心",2016.0
基于神经网络LSTM的Markowitz扩展模型的投资组合优化,文章对长短期记忆网络(LSTM)模型在预测股票价格方面的应用进行了研究，并探讨了如何将LSTM模型的预测结果融入Markowitz传统投资组合优化模型中。报告了LSTM模型在投资组合管理中的新现状，特别是在预期收益波动率的预测方面。通过数据集调整和训练次数的优化实验，研究对模型预测精度的提升潜力进行了调查，并发现精确度可接近90%。最后，文章基于LSTM预测数据进行了最佳投资组合构建及其收益分析。,2025.0
融合风险对冲机制的投资组合对冲交易策略,针对投资组合对市场下跌风险即系统性风险感知弱，提出融合风险对冲与投资组合策略，建立投资组合对冲交易策略，在投资过程中反向持仓对冲资产。基于深度强化学习的Actor-Critic算法，使用目标网络定时更新，模型可以持续学习；运用长短期记忆网络预测动作概率，根据概率随机选择动作。实验结果显示，对冲策略可以降低投资风险，使累计收益率稳定增长。测试集相比于传统策略，索提诺比率、夏普比率明显提升，下行风险降低22.95%，最大回撤降低56.92%。,2025.0
基于深度学习的收益率预测与投资组合模型,在资产池中选出具有高回报的优质资产，是投资组合模型的关键因素。文章采用长短期记忆网络这一深度学习算法对资产收益进行预估，提高了精准识别高质量资产的能力，并因此增进投资组合策略的表现；然后使用均值-方差模型对选出的优质资产进行投资比例划分；最后以中国大宗商品期货市场为资产池，进行100期投资，从收益率、风险和风险收益三个方面选取不同指标来评估投资组合的绩效，结果表明LSTM+MV投资组合在风险绩效上表现最优，且取得较好的收益。,2024.0
基于多层图关系和强化学习的策略教学研究,教育信息化的发展为促进教学内容多样化提供了更多方案。为了丰富程序化交易课程的内涵，对量化策略的探讨研究提出了新的案例教学方法。由于在股票趋势预测的任务中，公司股票的预测会受到相关联公司及多方面的隐性层面高管关系的影响。为了有效应对股票市场波动中的动量溢出效应，就高管因素的影响提出一个基于多层图卷积神经网络(GCNN)的股票趋势预测及智能量化交易模型，将其应用于实际课堂教学中充实课堂实例教学任务。该模型首先结合股票历史数据和市场媒体信息，然后利用多层GCNN提取股票之间包含的具有交叉效应的公司间显性关系和高管间隐性关系等信息进行趋势预测，最后通过强化学习(RL)进行策略训练。该模型不仅有效提高了股票趋势预测的准确性，而且有效提升了投资组合优化收益。在CSI100E和CSI300E数据集上的实验结果表明，该模型得到60.19%和57.44%的准确率，而图卷积网络(GCN)模型得到51.58%和55.79%的准确率。通过分析得出该模型的股票趋势预测效果更好，加入了预测结果的智能投资决策也更有效。该研究的方法和实验结果为金融课程提供了实际案例，可帮助学生理解复杂市场动态和量化交易策略。,2025.0
基于BiGRU和残差图注意力网络的股票价格预测模型,"高效、准确的股票价格预测能帮助投资者合理规划交易方式，提高投资收益。针对现有股票价格预测模型的准确率不高、投资收益率低等问题，提出一种结合双向门控循环单元(BiGRU)和残差图注意力网络(ResGAT)的股票价格预测模型(BiGRU-ResGAT)。首先，通过结合注意力机制的时间滑动窗口方法(TSWMCAM)动态计算不同股票之间的关联系数，构建表征股票之间关联关系的股票图结构；然后，使用BiGRU捕获股票在时序上的长距离依赖信息；最后，利用ResGAT对股票的时序特征与股票间的关联特征进行深度挖掘和融合，并对股票价格进行预测。在上海证券交易所主板市场498支股票上的价格预测结果显示，与支持向量机(SVM)、门控循环单元(GRU)、复合模型(CNN-LSTM)和关系股票排序模型(RSR)相比，BiGRU-ResGAT在股票测试集上平均绝对误差(MAE)分别降低79.53%、63.20%、48.17%、33.19%,均方根误差(RMSE)分别降低80.23%、66.22%、53.99%、29.99%,决定系数(R-Squared)分别提升23.34%、15.22%、9.54%、4.84%;在投资组合上的累计收益率分别提升10.77、7.89、6.81、5.03个百分点。实验结果表明，BiGRU-ResGAT能够有效地挖掘和融合股票数据的关键特征，对股票价格进行预测。",2024.0
基于LSTM的两阶段均值-CVaR投资组合决策,"文章提出了一种基于长短期记忆网络(Long-short Term Memory network, LSTM)的两阶段均值-CVaR投资组合模型(LSTM+CVaR)。该模型在第一阶段采用LSTM预测股票收益并对股票进行选择；在第二阶段运用均值-CVaR模型来确定所选股票的投资比例。最后，以沪深300指数股为样本数据，在考虑交易成本和上界约束的情况下，比较LSTM+CVaR模型、LSTM预测选股的等比例模型、随机选股的CVaR模型、随机选股的等比例模型和沪深300指数的风险收益特征、累计收益率和夏普比率。实证结果表明：LSTM+CVaR模型能够实现比传统的投资组合模型更高的平均收益率、收益风险比、累计收益率和夏普比率；减少交易成本和放宽上界约束能提升投资组合模型的表现。",2023.0
基于注意力机制的CNN-LSTM模型股价趋势预测,为了更准确地预测股价趋势，获取更高的超额收益，该文将注意力机制、卷积神经网络（CNN）与长短期记忆神经网络（LSTM）组合，提出了一种基于注意力机制的CNN-LSTM模型。实验选取沪深300指数成分股5分钟k线数据，采取变分编码器（VAE）进行特征工程，通过对比引入注意力机制前后的CNNLSTM、CNN与LSTM模型构建投资组合的超额收益等指标，说明该文所提出模型的有效性。结果显示，基于注意力机制的CNN-LSTM模型预测性能较优。,2022.0
基于深度强化学习TD3算法的投资组合管理,投资组合问题是指投资者在控制风险的情况下将资产重新分配到不同产品中，实现收益最大化。利用深度强化学习中的TD3算法，并构建基于长短期记忆网络(long short-term memory，LSTM)的TD3算法投资组合模型来进行研究，同时将股票投资组合交易过程定义为马尔可夫决策过程模型。结果表明，深度强化学习算法构建的投资组合模型在累计收益率，夏普比率，最大回撤等评价指标方面都要优于等权重投资组合。表明该方法可以优化投资组合策略，实现股票投资收益最大化，对于投资者来说具有有效的参考价值和研究意义，同时促进了计算机技术与金融领域更好地结合。,2022.0
基于机器学习的投资组合选择研究,将股票收益预测结果与投资组合优化模型相结合，可以给投资者带来更稳定且高额的回报。近年来，机器学习和深度学习模型在时间序列预测中取得了很大的成功。基于随机森林(RF)、支持向量回归(SVR)和长短期记忆网络(LSTM)3种模型提出了一种混合预测方法以使产生的预测误差最小。进而基于预测误差，构建一个风险指标对传统的均值-方差(MV)模型进行改进，提出一种新的投资组合模型。实验数据采用上证100中20支成分股2006-2020年的15年的日数据。最后，通过比较各个策略的累计收益、年化收益、夏普比率等指标证明了论文所提出投资组合选择模型的优越性。,2021.0
基于自注意力神经网络的多因子量化选股问题研究,"大数据时代,深度学习算法的不断完善丰富了量化投资领域的分析方法,在众多量化投资策略中,多因子选股策略因其稳定的收益而备受投资者青睐。本文借助Tushare Pro金融大数据平台和聚宽量化交易平台,选取2009年10月至2019年3月沪深300各成分股日度数据作为研究对象,全面选取行情类、财务类、技术类和投资者情绪类四个类别共117个因子构建初始因子池,利用集成思想综合计算Pearson相关系数、距离相关系数、基于AIC准则的Elastic Net、基于BIC准则的Elastic Net、随机森林和GBDT共六个模型对于各个因子的重要性进行评分,筛选出68个因子;运用自注意力神经网络模型,通过过去60个交易日的因子数据,预测各成分股未来一个月的价格变动趋势,按上涨概率大小选取出前50只股票按等权重的资金分配方式构建投资组合,以月为周期进行投资组合的更新。实证结果表明,该投资策略相比于沪深300指数具有更高的收益和较低的风险。",2020.0
基于ELSTM-L模型的股票预测系统,"文章提出了采用支持向量机(SVM)和改进的长短期记忆网络(LSTM)与Lasso方法相结合的两个投资组合模型。选取技术指标作为模型的输入变量,使用改进的网格搜索法和指数衰减法分别改进SVM和LSTM。再通过这两种算法对HS300中所有股票进行涨跌预测,并统计预测为上涨的股票,最后基于变量选择观点的Lasso方法对预测上涨的股票进行筛选和权重计算,构建GSVM-L和ELSTM-L投资组合模型。结果表明:相对于其他组合模型,该模型具有较好的投资收益和较强的抗风险能力,且ELSTM-L模型可以容忍更高的交易成本。",2019.0
机器学习驱动的基本面量化投资研究,"基本面量化投资是近年来金融科技和量化投资研究的新热点。作为人工智能的代表性技术,机器学习能够大幅度提高经济学和管理学中预测类研究的效果。本文系统性地运用机器学习,来提升基本面量化投资中的股票收益预测模块。基于1997年1月至2018年10月A股市场的96项异象因子,本文采用预测组合算法、Lasso回归、岭回归、弹性网络回归、偏最小二乘回归、支持向量机、梯度提升树、极端梯度提升树、集成神经网络、深度前馈网络、循环神经网络和长短期记忆网络等12种机器学习算法,构建股票收益预测模型及投资组合。实证结果显示,机器学习算法能够有效地识别异象因子—超额收益间的复杂模式,其投资策略能够获得比传统线性算法和所有单因子更好的投资绩效,基于深度前馈网络预测的多空组合最高能够获得2.78%的月度收益。本文进一步检验了因子在预测模型中的重要性,发现交易摩擦因子在A股市场具有较强的预测能力,深度前馈网络在筛选因子数据上的多空组合月度收益达到了3.41%。本文尝试将机器学习引入基本面量化投资领域,有助于促进人工智能、机器学习与经济学和管理学的交叉融合研究,为推进国家人工智能战略的有效实施提供参考。",2019.0
